"Unit_of_Analysis","Coach_ID","Name","Age","Hired","Year","Number_of_Interviews_That_Year","Previous_Job","Previous_Job_Coded","NFL_Playing_Experience","NFL_Coaching_Experience","Total_NFL_Experience","Black","White","Minority","OC","DC","HC"
"Aaron Glenn 2021",1,"Aaron Glenn",48,0,2021,1,"Other NFL Job",5,15,8,23,1,0,1,0,0,0
"Aaron Glenn 2022",1,"Aaron Glenn",49,0,2022,2,"Defensive Coordinator",4,15,9,24,1,0,1,0,1,0
"Adam Gase 2015",2,"Adam Gase",36,0,2015,5,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Adam Gase 2016",2,"Adam Gase",37,1,2016,4,"Offensive Coordinator",3,0,13,13,0,1,0,1,0,0
"Adam Gase 2019",2,"Adam Gase",40,1,2019,2,"Head Coach Previous Season",1,0,16,16,0,1,0,0,0,1
"Anthony Lynn 2015",3,"Anthony Lynn",46,0,2015,1,"Other NFL Job",5,6,15,21,1,0,1,0,0,0
"Anthony Lynn 2016",3,"Anthony Lynn",47,0,2016,2,"Other NFL Job",5,6,16,22,1,0,1,0,0,0
"Anthony Lynn 2017",3,"Anthony Lynn",48,1,2017,3,"Head Coach Previous Season",1,6,17,23,1,0,1,0,0,1
"Arthur Smith 2021",4,"Arthur Smith",38,1,2021,6,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Ben McAdoo 2016",5,"Ben McAdoo",38,1,2016,2,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Bill Lazor 2019",6,"Bill Lazor",46,0,2019,1,"Offensive Coordinator",3,0,13,13,0,1,0,1,0,0
"Bill O'Brien 2022",7,"Bill O'Brien",52,0,2022,1,"Former Head Coach",2,0,12,12,0,1,0,0,0,0
"Bobby Johnson 2018",8,"Bobby Johnson",44,0,2018,1,"Other NFL Job",5,0,8,8,1,0,1,0,0,0
"Brandon Staley 2021",9,"Brandon Staley",38,1,2021,3,"Defensive Coordinator",4,0,4,4,0,1,0,0,1,0
"Brian Callahan 2022",10,"Brian Callahan",37,0,2022,1,"Offensive Coordinator",3,0,12,12,0,1,0,1,0,0
"Brian Daboll 2020",11,"Brian Daboll",44,0,2020,1,"Offensive Coordinator",3,0,19,19,0,1,0,1,0,0
"Brian Daboll 2021",11,"Brian Daboll",45,0,2021,2,"Offensive Coordinator",3,0,20,20,0,1,0,1,0,0
"Brian Daboll 2022",11,"Brian Daboll",46,1,2022,3,"Offensive Coordinator",3,0,21,21,0,1,0,1,0,0
"Brian Flores 2018",12,"Brian Flores",36,0,2018,1,"Other NFL Job",5,0,14,14,1,0,1,0,0,0
"Brian Flores 2019",12,"Brian Flores",37,1,2019,4,"Other NFL Job",5,0,15,15,1,0,1,0,0,0
"Brian Flores 2022",12,"Brian Flores",40,0,2022,4,"Head Coach Previous Season",1,0,18,18,1,0,1,0,0,1
"Bruce Arians 2019",13,"Bruce Arians",66,1,2019,1,"Former Head Coach",2,0,25,25,0,1,0,0,0,0
"Byron Leftwich 2022",14,"Byron Leftwich",42,0,2022,2,"Offensive Coordinator",3,9,6,15,1,0,1,1,0,0
"Chip Kelly 2016",15,"Chip Kelly",52,1,2016,1,"Head Coach Previous Season",1,0,3,3,0,1,0,0,0,1
"Chip Kelly 2017",15,"Chip Kelly",53,0,2017,1,"Head Coach Previous Season",1,0,4,4,0,1,0,0,0,1
"Chuck Pagano 2019",16,"Chuck Pagano",58,0,2019,2,"Former Head Coach",2,0,16,16,0,1,0,0,0,0
"Dan Campbell 2016",17,"Dan Campbell",39,0,2016,1,"Head Coach Previous Season",1,10,6,16,0,1,0,0,0,1
"Dan Campbell 2018",17,"Dan Campbell",41,0,2018,1,"Other NFL Job",5,10,8,18,0,1,0,0,0,0
"Dan Campbell 2019",17,"Dan Campbell",42,0,2019,3,"Other NFL Job",5,10,9,19,0,1,0,0,0,0
"Dan Campbell 2021",17,"Dan Campbell",44,1,2021,1,"Other NFL Job",5,10,11,21,0,1,0,0,0,0
"Dan Mullen 2021",18,"Dan Mullen",48,0,2021,1,"College Coach",6,0,0,0,0,1,0,0,0,0
"Dan Quinn 2015",19,"Dan Quinn",44,1,2015,5,"Defensive Coordinator",4,0,12,12,0,1,0,0,1,0
"Dan Quinn 2022",19,"Dan Quinn",51,0,2022,5,"Defensive Coordinator",4,0,19,19,0,1,0,0,1,0
"Darrell Bevell 2015",20,"Darrell Bevell",45,0,2015,2,"Offensive Coordinator",3,0,15,15,0,1,0,1,0,0
"Darrell Bevell 2021",20,"Darrell Bevell",51,0,2021,1,"Head Coach Previous Season",1,0,20,20,0,1,0,0,0,1
"Darrell Bevell 2022",20,"Darrell Bevell",52,0,2022,1,"Head Coach Previous Season",1,0,21,21,0,1,0,0,0,1
"Darren Rizzi 2019",21,"Darren Rizzi",48,0,2019,1,"Other NFL Job",5,0,11,11,0,1,0,0,0,0
"Darren Rizzi 2022",21,"Darren Rizzi",51,0,2022,1,"Other NFL Job",5,0,14,14,0,1,0,0,0,0
"Darrin Simmons 2019",22,"Darrin Simmons",45,0,2019,1,"Other NFL Job",5,0,0,0,0,1,0,0,0,0
"Dave Toub 2017",23,"Dave Toub",54,0,2017,2,"Other NFL Job",5,0,16,16,0,1,0,0,0,0
"David Culley 2021",24,"David Culley",65,1,2021,1,"Other NFL Job",5,0,27,27,1,0,1,0,0,0
"DeMeco Ryans 2022",25,"DeMeco Ryans",37,0,2022,1,"Defensive Coordinator",4,10,5,15,1,0,1,0,1,0
"Dennis Allen 2019",26,"Dennis Allen",46,0,2019,1,"Defensive Coordinator",4,0,17,17,0,1,0,0,1,0
"Dennis Allen 2021",26,"Dennis Allen",48,0,2021,1,"Defensive Coordinator",4,0,19,19,0,1,0,0,1,0
"Dennis Allen 2022",26,"Dennis Allen",49,1,2022,1,"Defensive Coordinator",4,0,20,20,0,1,0,0,1,0
"Dirk Koetter 2016",27,"Dirk Koetter",57,1,2016,2,"Offensive Coordinator",3,0,9,9,0,1,0,1,0,0
"Don Martindale 2020",28,"Don Martindale",56,0,2020,1,"Defensive Coordinator",4,0,15,15,0,1,0,0,1,0
"Doug Marrone 2015",29,"Doug Marrone",50,0,2015,4,"Head Coach Previous Season",1,2,9,11,0,1,0,0,0,1
"Doug Marrone 2016",29,"Doug Marrone",51,0,2016,4,"Other NFL Job",5,2,10,12,0,1,0,0,0,0
